Test,Sender Message,Polynomial,Set K,Total
500_100_9.0949e-13_0,32,3204,3615,6851
1000_100_9.0949e-13_0,32,3204,7222,10458
1500_100_9.0949e-13_0,32,3204,10829,14065
500_100_0.0_0,32,3204,16004,19240
1000_100_0.0_0,32,3204,32004,35240
1500_100_0.0_0,32,3204,48004,51240
128_100_9.094947e-13_0,32,3204,932,4168
256_100_9.094947e-13_0,32,3204,1855,5091
512_100_9.094947e-13_0,32,3204,3702,6938
1024_100_9.094947e-13_0,32,3204,7395,10631
128_100_0.0_0,32,3204,4100,7336
256_100_0.0_0,32,3204,8196,11432
512_100_0.0_0,32,3204,16388,19624
1024_100_0.0_0,32,3204,32772,36008
128_100_9.094947e-13_0,32,3204,932,4168
256_100_9.094947e-13_0,32,3204,1855,5091
512_100_9.094947e-13_0,32,3204,3702,6938
1024_100_9.094947e-13_0,32,3204,7395,10631
128_100_0.0_0,32,3204,4100,7336
256_100_0.0_0,32,3204,8196,11432
512_100_0.0_0,32,3204,16388,19624
1024_100_0.0_0,32,3204,32772,36008
128_100_9.094947e-13_64,32,3204,932,4168
256_100_9.094947e-13_64,32,3204,1855,5091
512_100_9.094947e-13_64,32,3204,3702,6938
1024_100_9.094947e-13_64,32,3204,7395,10631
128_100_9.094947e-13_0,32,3204,932,4168
256_100_9.094947e-13_0,32,3204,1855,5091
512_100_9.094947e-13_0,32,3204,3702,6938
1024_100_9.094947e-13_0,32,3204,7395,10631
128_100_1e-05_16,32,3204,392,3628
256_100_1e-05_16,32,3204,775,4011
512_100_1e-05_16,32,3204,1542,4778
1024_100_1e-05_16,32,3204,3076,6312
