Test,Message Generation (S),Hash Items (S),Generate K (S),Generate Secrets (R),Interpolate (R),Generate Matches (R),Check K (R),Total Online Time
500_100_9.0949e-13_0,   0.0317,0.0003,4.5333,1.8993,0.0773,0.882,0.0035,4.6689
1000_100_9.0949e-13_0,  0.0212,0.0007,9.2596,1.7921,0.0619,0.8837,0.0035,9.4
1500_100_9.0949e-13_0,  0.0323,0.001,13.5456,1.8703,0.0589,0.8528,0.0035,13.687
500_100_0.0_0,          0.0353,0.0004,4.748,1.7896,0.0646,0.8863,0.0001,4.8892
1000_100_0.0_0,         0.0182,0.0008,8.8828,1.6882,0.0617,1.0009,0.0001,9.0197
1500_100_0.0_0,         0.0263,0.001,13.4339,2.0057,0.0624,0.9309,0.0003,13.5927
128_100_9.094947e-13_0,0.0176,0.0,1.0921,1.8251,0.0454,0.8011,0.0032,1.2211
256_100_9.094947e-13_0,0.018,0.0001,2.1344,1.4713,0.0451,0.8159,0.0026,2.2583
512_100_9.094947e-13_0,0.0349,0.0003,4.3208,1.7619,0.0473,0.7904,0.0029,4.448
1024_100_9.094947e-13_0,0.0098,0.0006,8.6117,1.6284,0.0445,0.7606,0.0016,8.7455
128_100_0.0_0,0.0098,0.0001,1.0822,1.5867,0.0453,0.7978,0.0001,1.2151
256_100_0.0_0,0.0168,0.0001,2.1026,1.6314,0.0443,0.8117,0.0001,2.2276
512_100_0.0_0,0.0096,0.0003,4.1503,1.8488,0.0451,0.9456,0.0001,4.2744
1024_100_0.0_0,0.0098,0.0007,8.0982,1.7584,0.045,0.7788,0.0001,8.1953
128_100_9.094947e-13_0,0.0092,0.0001,1.0294,1.5669,0.0453,0.7696,0.0032,1.1591
256_100_9.094947e-13_0,0.0095,0.0001,2.1951,1.742,0.0449,0.8006,0.0032,2.3246
512_100_9.094947e-13_0,0.0339,0.0003,4.0604,1.6381,0.0448,0.7744,0.0032,4.1871
1024_100_9.094947e-13_0,0.01,0.0006,8.758,1.8648,0.0449,0.8343,0.0032,8.8877
128_100_0.0_0,0.017,0.0001,1.0706,1.4914,0.0446,0.827,0.0001,1.1951
256_100_0.0_0,0.0126,0.0001,2.1827,1.9025,0.0458,0.8235,0.0001,2.3062
512_100_0.0_0,0.0096,0.0003,4.2497,1.6578,0.0446,0.7725,0.0001,4.3786
1024_100_0.0_0,0.0145,0.0006,8.343,1.6216,0.0576,0.778,0.0,8.4325
128_100_9.094947e-13_64,0.018,0.0001,1.3325,1.9691,0.0619,1.0306,0.0043,1.3867
256_100_9.094947e-13_64,0.0261,0.0002,2.6379,2.0258,0.0606,1.0173,0.0078,2.6915
512_100_9.094947e-13_64,0.0249,0.0003,4.7278,2.1131,0.0545,1.0534,0.0085,4.7816
1024_100_9.094947e-13_64,0.0481,0.0008,10.5086,2.1828,0.0644,1.0434,0.0101,10.5686
128_100_9.094947e-13_0,0.0112,0.0001,1.3498,2.2106,0.0617,1.006,0.0019,1.4014
256_100_9.094947e-13_0,0.0379,0.0002,2.7177,1.999,0.0629,0.9774,0.0029,2.7675
512_100_9.094947e-13_0,0.0118,0.0004,5.6057,2.1242,0.0642,0.9975,0.0033,5.6601
1024_100_9.094947e-13_0,0.0111,0.0008,10.6949,1.9163,0.0629,1.0067,0.0033,10.7445
128_100_1e-05_16,0.0299,0.0,1.1128,1.6018,0.045,0.8161,0.0035,1.2317
256_100_1e-05_16,0.0092,0.0001,2.0578,1.5822,0.0449,0.8008,0.0041,2.2289
512_100_1e-05_16,0.0432,0.0003,4.2663,1.4864,0.0445,0.7568,0.0054,4.401
1024_100_1e-05_16,0.0326,0.0006,8.4917,1.5617,0.0448,0.7644,0.0076,8.6259
